date,precip_mm,year,month,temp_c,wind_u,wind_v,solar_rad
2024-10-16 12:00:00,0.00039016685,2024,10,291.2259,-2.1281545,0.38321108,129.08536
2024-11-16 00:00:00,0.00039456927,2024,11,290.91705,-2.7107635,0.86777794,121.90076
2024-12-16 12:00:00,0.00028205838,2024,12,291.34692,-6.654327,0.46383974,132.88268
2025-01-16 12:00:00,0.00028789754,2025,1,291.48294,-5.5466228,2.4273896,147.92761
2025-02-15 00:00:00,0.00025168163,2025,2,291.82568,-6.586052,1.4324803,172.88391
2025-03-16 12:00:00,0.00016940964,2025,3,292.53046,-4.8267255,0.2928652,195.1019
2025-04-16 00:00:00,0.00034152585,2025,4,292.2618,-0.61034733,0.38909975,152.58833
2025-05-16 12:00:00,0.0003877005,2025,5,291.5482,-1.1987113,0.46614933,138.577
2025-06-16 00:00:00,0.00015600424,2025,6,291.74078,-3.2785275,0.18985918,168.26205
2025-07-16 12:00:00,0.00017058005,2025,7,291.47333,-3.7334409,-0.08737132,177.27164
2025-08-16 12:00:00,4.303615e-05,2025,8,291.70874,-2.888904,0.5137806,226.68298
2025-09-16 00:00:00,0.00023512568,2025,9,291.7544,-2.712299,0.32742012,181.21445
2025-10-16 12:00:00,0.0004267435,2025,10,291.45972,-2.2295825,0.45510352,132.53479
2025-11-16 00:00:00,0.00038889318,2025,11,290.95712,-2.01664,1.2185072,135.57819
2025-12-16 12:00:00,0.00030732527,2025,12,291.20624,-6.037325,0.18560125,127.153595
2026-01-16 12:00:00,0.0002088511,2026,1,291.8883,-8.413285,1.1292306,187.4812
2026-02-15 00:00:00,0.00026322668,2026,2,292.412,-8.124574,1.7832094,184.87054
2026-03-16 12:00:00,0.00029090635,2026,3,292.07184,-6.3416038,0.41982234,152.43597
2026-04-16 00:00:00,0.00030479382,2026,4,292.05463,-3.5287757,0.13478786,148.85143
2026-05-16 12:00:00,0.00027853795,2026,5,291.88513,-1.7485185,0.7950146,154.54886
2026-06-16 00:00:00,0.00013944818,2026,6,291.99942,-3.2380486,0.29711187,170.00748
2026-07-16 12:00:00,0.00019706956,2026,7,291.5241,-5.987526,-0.76882476,173.09038
2026-08-16 12:00:00,0.0001693279,2026,8,291.41916,-6.475842,-0.9742101,189.48134
2026-09-16 00:00:00,0.000239113,2026,9,291.69104,-3.1207087,-0.27414018,166.59337
2026-10-16 12:00:00,0.00040875896,2026,10,290.74603,-1.4204794,0.5620354,123.925995
2026-11-16 00:00:00,0.00029512355,2026,11,290.56042,-2.0575306,0.39128715,144.2597
2026-12-16 12:00:00,0.00025934156,2026,12,290.96198,-3.4632576,1.8830441,144.044
2027-01-16 12:00:00,0.0001912312,2027,1,291.16675,-5.6613216,2.503535,158.13275
2027-02-15 00:00:00,0.00013732268,2027,2,291.50134,-7.799493,1.9842578,190.47131
2027-03-16 12:00:00,0.00026745594,2027,3,291.56454,-3.2622497,1.8220956,177.66708
2027-04-16 00:00:00,0.00037831534,2027,4,291.01154,-3.2476332,1.1039824,140.54129
2027-05-16 12:00:00,0.00017148597,2027,5,290.9442,-2.9186013,0.6238864,177.87564
2027-06-16 00:00:00,0.0003496809,2027,6,290.36832,-7.0583477,-0.24838789,128.2452
2027-07-16 12:00:00,0.0001394136,2027,7,290.73944,-6.6163983,-0.59987605,177.85918
2027-08-16 12:00:00,0.00029524084,2027,8,290.97165,-5.688522,-0.81082374,155.64307
2027-09-16 00:00:00,0.0003363862,2027,9,291.21463,-4.4267797,-0.5510989,157.83533
2027-10-16 12:00:00,0.00048631348,2027,10,290.67508,-3.6533532,-0.71733636,109.931335
